,budget,critic_rating,distribution,genre,id,method,rating,release,runtime,source,weekend1_date,weekend1_gross,weekend1_pertheater,weekend1_rank,weekend1_theaters,weekend2_date,weekend2_gross,weekend2_pertheater,weekend2_rank,weekend2_theaters,weekend3_date,weekend3_gross,weekend3_pertheater,weekend3_rank,weekend3_theaters,weekend4_date,weekend4_gross,weekend4_pertheater,weekend4_rank,weekend4_theaters,weekend5_date,weekend5_gross,weekend5_pertheater,weekend5_rank,weekend5_theaters,widest_release,year
Happy Feet,85000000.0,75.0,Warner Bros.,Adventure,Happy-Feet,Digital Animation,PG,True,108.0,Original Screenplay,2006-11-17 00:00:00,41533432,10918,1,3804,2006-11-24 00:00:00,37038046,9737,1,3804,2006-12-01 00:00:00,17545418,4612,1,3804,2006-12-08 00:00:00,12904413,3535,2,3650,2006-12-15 00:00:00,8358421,2506,4,3335,3804.0,2006
Happy Feet Two,135000000.0,46.0,Warner Bros.,Adventure,Happy-Feet-2,Digital Animation,PG,True,99.0,Original Screenplay,2011-11-18 00:00:00,21237068,5889,2,3606,2011-11-25 00:00:00,13397346,3710,3,3611,2011-12-02 00:00:00,5919390,1674,5,3536,2011-12-09 00:00:00,3690304,1299,8,2840,2011-12-16 00:00:00,1077329,605,13,1780,3611.0,2011
Harold & Kumar Escape from Guantanamo Bay,12000000.0,53.0,Warner Bros.,Comedy,Harold-and-Kumar-Escape-from-Guantanamo-Bay,Live Action,R,True,,Original Screenplay,2008-04-25 00:00:00,14908404,5940,2,2510,2008-05-02 00:00:00,6114373,2403,4,2545,2008-05-09 00:00:00,3106424,1372,7,2264,2008-05-16 00:00:00,1997450,1424,8,1403,2008-05-23 00:00:00,927336,1236,9,750,2545.0,2008
Harold & Kumar Go to White Castle,9000000.0,74.0,New Line,Comedy,Harold-and-Kumar-Go-to-White-Castle,Live Action,R,True,,Original Screenplay,2004-07-30 00:00:00,5480378,2567,7,2135,2004-08-06 00:00:00,3191701,1476,8,2163,2004-08-13 00:00:00,1404200,1164,12,1206,2004-08-20 00:00:00,489985,1222,20,401,2004-08-27 00:00:00,195172,1148,30,170,2163.0,2004
Harry Brown,7300000.0,64.0,Samuel Goldwyn Films,Thriller/Suspense,Harry-Brown,Live Action,R,False,,,2010-04-30 00:00:00,173353,9124,29,19,2010-05-07 00:00:00,144548,3362,31,43,2010-05-14 00:00:00,135732,2262,32,60,2010-05-21 00:00:00,168074,2801,30,60,2010-05-28 00:00:00,130920,2424,31,54,60.0,2010
Harry Potter and the Deathly Hallows: Part I,125000000.0,,Warner Bros.,Adventure,Harry-Potter-and-the-Deathly-Hallows-Part-I,Animation/Live Action,PG-13,True,146.0,Based on Fiction Book/Short Story,2010-11-19 00:00:00,125017372,30307,1,4125,2010-11-26 00:00:00,49087101,11900,1,4125,2010-12-03 00:00:00,17018475,4126,2,4125,2010-12-10 00:00:00,8484316,2372,4,3577,2010-12-17 00:00:00,5022361,1756,9,2860,4125.0,2010
Harry Potter and the Deathly Hallows: Part II,125000000.0,96.0,Warner Bros.,Adventure,Harry-Potter-and-the-Deathly-Hallows-Part-II,Animation/Live Action,PG-13,True,131.0,Based on Fiction Book/Short Story,2011-07-15 00:00:00,169189427,38672,1,4375,2011-07-22 00:00:00,47422212,10839,2,4375,2011-07-29 00:00:00,21977093,5302,4,4145,2011-08-05 00:00:00,12445031,3920,6,3175,2011-08-12 00:00:00,7251414,3004,7,2414,4375.0,2011
Harry Potter and the Goblet of Fire,150000000.0,88.0,Warner Bros.,Adventure,Harry-Potter-and-the-Goblet-of-Fire,Animation/Live Action,PG-13,True,150.0,Based on Fiction Book/Short Story,2005-11-18 00:00:00,102685961,26616,1,3858,2005-11-25 00:00:00,54727138,14185,1,3858,2005-12-02 00:00:00,19878136,5152,1,3858,2005-12-09 00:00:00,10265443,2754,3,3728,2005-12-16 00:00:00,5952452,1869,4,3185,3858.0,2005
Harry Potter and the Half-Blood Prince,250000000.0,84.0,Warner Bros.,Adventure,Harry-Potter-and-the-Half-Blood-Prince,Animation/Live Action,PG,True,153.0,Based on Fiction Book/Short Story,2009-07-17 00:00:00,77835727,17997,1,4325,2009-07-24 00:00:00,29462187,6812,2,4325,2009-07-31 00:00:00,17909385,4077,2,4393,2009-08-07 00:00:00,8928349,2584,4,3455,2009-08-14 00:00:00,5141072,1855,7,2771,4393.0,2009
Harry Potter and the Order of the Phoenix,150000000.0,79.0,Warner Bros.,Adventure,Harry-Potter-and-the-Order-of-the-Phoenix,Animation/Live Action,PG-13,True,138.0,Based on Fiction Book/Short Story,2007-07-13 00:00:00,77108414,17995,1,4285,2007-07-20 00:00:00,32511350,7587,2,4285,2007-07-27 00:00:00,17733085,4428,3,4005,2007-08-03 00:00:00,9522220,3047,5,3125,2007-08-10 00:00:00,5432130,2101,8,2585,4285.0,2007
